gene_id	ko	assignment	score_type	threshold	bit_score	e_value	domain_bit_score	domain_e_value	definition
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2021727_3	K02864	threshold	full	50.83	122.9	2.9e-36	122.8	3.2e-36	large subunit ribosomal protein L10
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2021727_4	K02863	rescued	full	95.93	89.9	3.7e-26	89.8	3.9e-26	large subunit ribosomal protein L1
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2036736_10	K28279	threshold	domain	59.2	116.8	1.7e-34	116.6	1.9e-34	ribonuclease VapC22 [EC:3.1.-.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2036736_11	K03977	threshold	domain	219.3	564.5	4e-170	563.8	6.3e-170	GTPase
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2036736_13	K03218	threshold	domain	213.67	315.8	5.1e-95	315.6	6e-95	23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2036736_15	K03088	threshold	domain	98.57	136.0	3.1e-40	135.9	3.3e-40	RNA polymerase sigma-70 factor, ECF subfamily
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2036736_18	K01303	rescued	full	145.4	131.6	5.6e-39	126.4	2.1e-37	acylaminoacyl-peptidase [EC:3.4.19.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2036736_4	K00661	rescued	full	133.47	117.8	9.3e-35	116.1	3.1e-34	maltose O-acetyltransferase [EC:2.3.1.79]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2036736_5	K01652	rescued	full	477.9	453.8	2e-136	453.5	2.4e-136	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2036736_9	K28280	threshold	full	49.73	74.3	1.9e-21	74.2	2.1e-21	antitoxin VapB22
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2041958_3	K00849	threshold	full	363.13	459.8	2.4e-138	459.6	2.9e-138	galactokinase [EC:2.7.1.6]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2041958_4	K02429	threshold	domain	154.43	429.2	3.1e-129	429.1	3.4e-129	MFS transporter, FHS family, fucose-galactose-glucose:H+ symporter family protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2041958_5	K07407	threshold	domain	58.0	431.2	1.7e-129	430.8	2.2e-129	alpha-galactosidase [EC:3.2.1.22]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2041958_7	K07090	rescued	domain	47.13	39.3	6.2e-11	39.2	6.7e-11	uncharacterized protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2052857_10	K00331	threshold	domain	247.57	341.7	1.4e-102	341.5	1.6e-102	NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2052857_3	K03427	threshold	full	111.4	150.7	1.2e-44	149.1	3.9e-44	type I restriction enzyme M protein [EC:2.1.1.72]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2052857_6	K04751	threshold	domain	115.67	169.8	1.3e-50	169.7	1.4e-50	nitrogen regulatory protein P-II 1
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2052857_7	K03320	threshold	full	145.0	446.4	2.9e-134	446.1	3.6e-134	ammonium transporter, Amt family
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2052857_8	K04751	threshold	domain	115.67	172.3	2.2e-51	172.2	2.4e-51	nitrogen regulatory protein P-II 1
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2052857_9	K03320	threshold	full	145.0	462.8	3.2e-139	462.5	4e-139	ammonium transporter, Amt family
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2090139_3	K02372	threshold	full	79.27	218.6	2.4e-65	218.5	2.6e-65	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2090139_4	K00677	threshold	domain	177.47	366.9	2.4e-110	366.8	2.7e-110	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2090139_5	K09949	threshold	full	110.73	274.6	1.3e-82	274.5	1.4e-82	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2090139_6	K03564	threshold	full	160.93	212.7	1.4e-63	212.5	1.5e-63	thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2091000_10	K01813	threshold	full	518.0	675.0	7.8e-204	674.8	8.6e-204	L-rhamnose isomerase [EC:5.3.1.14]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2091000_11	K00848	threshold	full	287.87	601.2	2.9e-181	600.9	3.5e-181	rhamnulokinase [EC:2.7.1.5]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2091000_13	K01785	threshold	full	49.03	90.5	2e-26	90.2	2.6e-26	aldose 1-epimerase [EC:5.1.3.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2091000_15	K00854	threshold	full	275.87	353.2	6.4e-106	353.0	7.6e-106	xylulokinase [EC:2.7.1.17]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2091000_18	K03307	threshold	domain	264.1	382.7	4.9e-115	382.4	6e-115	solute:Na+ symporter, SSS family
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2091000_19	K06381	threshold	full	109.43	201.2	5.1e-60	127.3	1.4e-37	stage II sporulation protein D (peptidoglycan lytic transglycosylase) [EC:4.2.2.29]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2091000_2	K02595	threshold	full	47.47	127.9	5e-38	127.7	5.6e-38	nitrogenase-stabilizing/protective protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2091000_4	K00782	threshold	domain	98.33	204.5	4e-61	204.3	4.5e-61	L-lactate dehydrogenase complex protein LldG
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2091000_5	K18929	threshold	full	428.13	702.3	9e-212	702.2	9.9e-212	L-lactate dehydrogenase complex protein LldF
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2091000_6	K18928	threshold	domain	251.8	361.1	6.7e-109	360.9	7.4e-109	L-lactate dehydrogenase complex protein LldE
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2091000_7	K03534	threshold	domain	91.27	128.8	2.1e-38	128.7	2.3e-38	L-rhamnose mutarotase [EC:5.1.3.32]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2091000_8	K02856	threshold	full	265.7	478.7	1.6e-144	478.5	1.8e-144	L-rhamnose-H+ transport protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2091000_9	K05989	threshold	domain	122.2	1103.6	0.0	895.1	1.8e-269	alpha-L-rhamnosidase [EC:3.2.1.40]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2094519_2	K15865	rescued	full	397.13	351.9	1.2e-105	351.5	1.6e-105	threonylcarbamoyladenosine tRNA methylthiotransferase [EC:2.8.4.5]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2094519_4	K09992	threshold	domain	82.63	233.0	1.8e-69	232.9	2e-69	uncharacterized protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2094519_6	K18918	threshold	full	42.07	90.8	1.5e-26	90.7	1.6e-26	RHH-type transcriptional regulator, rel operon repressor / antitoxin RelB
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2094519_7	K06218	threshold	domain	45.47	92.6	6.3e-27	92.4	6.9e-27	mRNA interferase RelE/StbE
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2094519_8	K02945	threshold	domain	146.63	685.7	7.7e-207	499.4	2.1e-150	small subunit ribosomal protein S1
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2104672_14	K07491	threshold	domain	17.4	50.2	6.1e-14	50.2	6.1e-14	REP-associated tyrosine transposase
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2104672_17	K02452	rescued	domain	49.27	64.7	2e-18	41.3	2.6e-11	general secretion pathway protein C
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2104672_19	K03088	threshold	domain	98.57	153.3	1.7e-45	153.2	1.9e-45	RNA polymerase sigma-70 factor, ECF subfamily
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2104672_6	K02636	rescued	full	115.83	112.5	4.4e-33	112.4	4.6e-33	cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2104672_7	K00065	threshold	domain	332.77	383.2	1.5e-115	383.0	1.6e-115	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2115470_3	K21575	threshold	full	394.1	640.9	4.1e-193	640.6	4.8e-193	neopullulanase [EC:3.2.1.135]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2115470_4	K03641	rescued	domain	123.43	190.9	8e-57	97.5	1.7e-28	TolB protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2115470_5	K00705	threshold	domain	75.17	515.8	4.8e-155	515.5	5.7e-155	4-alpha-glucanotransferase [EC:2.4.1.25]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2115470_6	K16211	threshold	domain	242.63	679.7	7.8e-205	679.5	9.4e-205	maltose/moltooligosaccharide transporter
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_1	K07386	threshold	domain	661.2	752.9	9.8e-227	752.7	1.1e-226	putative endopeptidase [EC:3.4.24.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_10	K28144	rescued	full	41.13	34.5	3e-09	34.4	3.2e-09	antitoxin VapB24/25/29/31/33/37/38/39/41/43/44/48
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_12	K19686	threshold	full	49.73	58.9	1.1e-16	58.7	1.3e-16	ribonuclease VapC28/30/34/36/42 [EC:3.1.-.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_14	K01809	threshold	full	40.67	154.5	7.8e-46	154.3	9.2e-46	mannose-6-phosphate isomerase [EC:5.3.1.8]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_16	K02195	threshold	full	98.93	207.6	3.8e-62	207.4	4.4e-62	heme exporter protein C
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_17	K02004	threshold	full	50.23	95.7	3.4e-28	88.4	5.4e-26	putative ABC transport system permease protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_18	K15539	threshold	full	50.1	75.2	1e-21	74.9	1.3e-21	cytoskeleton protein RodZ
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_2	K19159	threshold	domain	66.47	83.0	4.3e-24	83.0	4.3e-24	antitoxin YefM
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_21	K00789	threshold	full	25.9	647.0	4.4e-195	646.9	4.8e-195	S-adenosylmethionine synthetase [EC:2.5.1.6]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_3	K19158	threshold	full	41.1	115.0	6.2e-34	114.9	6.4e-34	toxin YoeB [EC:3.1.-.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_6	K01951	threshold	full	107.6	569.0	1.8e-171	568.7	2.2e-171	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_7	K01951	threshold	full	107.6	112.9	2.2e-33	112.8	2.4e-33	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_9	K28143	threshold	full	71.57	85.9	5.1e-25	85.6	6.4e-25	ribonuclease VapC24/25/29/31/33/37/38/39/41/43/44/48 [EC:3.1.-.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_10	K00764	threshold	full	186.1	629.8	1.6e-189	629.6	1.8e-189	amidophosphoribosyltransferase [EC:2.4.2.14]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_11	K01952	threshold	full	589.67	1726.6	0.0	1726.4	0.0	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_12	K01933	threshold	domain	152.2	452.6	5.1e-136	452.5	5.7e-136	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_13	K01923	threshold	domain	172.67	390.0	2.7e-117	389.9	2.8e-117	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_14	K01945	threshold	domain	129.8	438.1	6.6e-132	437.9	7.8e-132	phosphoribosylamine---glycine ligase [EC:6.3.4.13]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_15	K11175	threshold	domain	190.9	232.0	1.5e-69	231.8	1.7e-69	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_16	K01588	threshold	domain	114.97	269.6	3.6e-81	269.5	3.8e-81	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_19	K16066	threshold	full	390.0	415.3	4.8e-125	415.2	5.4e-125	3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_20	K07746	threshold	domain	32.87	41.0	4.4e-11	41.0	4.6e-11	antitoxin ParD1/3/4
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_21	K19092	threshold	domain	29.5	47.5	3.6e-13	47.5	3.8e-13	toxin ParE1/3/4
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_4	K03650	threshold	domain	170.63	507.0	2.3e-152	506.8	2.6e-152	tRNA modification GTPase [EC:3.6.-.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_5	K00609	threshold	domain	243.93	365.7	5e-110	365.5	5.6e-110	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_6	K01465	rescued	domain	323.13	262.0	2.4e-78	261.8	2.8e-78	dihydroorotase [EC:3.5.2.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_7	K01591	threshold	domain	126.97	197.1	7.3e-59	197.0	8e-59	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_8	K00762	rescued	domain	173.47	167.3	9.7e-50	167.2	1e-49	orotate phosphoribosyltransferase [EC:2.4.2.10]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2172492_2	K16898	threshold	full	501.43	566.4	2.6e-170	566.0	3.4e-170	ATP-dependent helicase/nuclease subunit A [EC:5.6.2.4 3.1.-.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2172492_3	K16899	rescued	domain	242.13	188.9	3.6e-56	182.8	2.4e-54	ATP-dependent helicase/nuclease subunit B [EC:5.6.2.4 3.1.-.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2198361_1	K00927	threshold	full	103.07	417.8	1.2e-125	417.6	1.3e-125	phosphoglycerate kinase [EC:2.7.2.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2198361_2	K00134	threshold	full	408.6	502.3	3.7e-151	502.1	4.2e-151	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_221503_1	K01159	threshold	domain	54.57	227.7	3.5e-68	227.6	3.8e-68	crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_221503_2	K10914	rescued	domain	148.8	131.3	1.2e-38	131.0	1.4e-38	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_221503_6	K03088	threshold	domain	98.57	152.3	3.6e-45	152.2	3.9e-45	RNA polymerase sigma-70 factor, ECF subfamily
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_11	K06901	threshold	domain	88.63	537.5	1e-161	537.4	1.1e-161	adenine/guanine/hypoxanthine permease
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_12	K00433	threshold	domain	199.7	452.5	2.2e-136	452.3	2.5e-136	non-heme chloroperoxidase [EC:1.11.1.10]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_13	K01698	threshold	full	69.43	506.6	1.1e-152	506.5	1.2e-152	porphobilinogen synthase [EC:4.2.1.24]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_3	K01118	threshold	full	92.23	244.7	3e-73	244.5	3.3e-73	FMN-dependent NADH-azoreductase [EC:1.7.1.17]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_4	K00979	threshold	full	125.67	340.1	3e-102	339.9	3.6e-102	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_5	K18173	rescued	full	45.17	39.2	9.4e-11	38.8	1.2e-10	cytochrome c oxidase assembly factor 1
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_6	K10778	threshold	domain	222.07	337.1	4e-101	336.8	4.9e-101	AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_7	K00059	threshold	full	265.23	284.3	2.4e-85	284.1	2.7e-85	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_8	K03892	rescued	domain	91.47	74.6	1.8e-21	74.5	1.9e-21	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_9	K01251	threshold	full	59.53	746.0	3.8e-225	745.8	4.2e-225	adenosylhomocysteinase [EC:3.13.2.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_281591_10	K02501	threshold	domain	232.37	252.6	6.2e-76	252.5	6.8e-76	imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_281591_11	K02500	threshold	full	331.9	402.3	5e-121	402.2	5.5e-121	imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_281591_12	K01814	rescued	domain	246.17	195.6	2.5e-58	195.4	2.8e-58	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_281591_14	K03811	threshold	full	46.8	183.9	6.8e-55	183.8	7.4e-55	nicotinamide mononucleotide transporter
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_281591_15	K02204	rescued	full	135.67	119.7	2.6e-35	119.4	3.1e-35	homoserine kinase type II [EC:2.7.1.39]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_281591_16	K02014	threshold	domain	156.33	221.8	3.9e-66	221.5	4.8e-66	iron complex outermembrane recepter protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_281591_17	K03406	threshold	domain	58.43	305.3	1.7e-91	305.1	1.9e-91	methyl-accepting chemotaxis protein
