query	seed_ortholog	evalue	score	eggNOG_OGs	tax_ceiling	farthest_donor_lineage	COG_category	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	annotation_confidence
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1644670_5	1380348.GCA_000620725_03673	1.21e-290	800.0	NiFeSe_Hases@131567|b-5	Prokaryota	1;131567;2;3379134;40117;1298915;1935146	COG3259	hoxH	-	ec:1.12.1.2	K00436	-	-	-	-	00001,01000	-	-	-	NiFeSe_Hases_273_449,NiFeSe_Hases_40_117	l-ll----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1644670_3	1380348.GCA_000620725_03674	7.76e-52	170.0	-	Prokaryota	1;131567;2;3379134;29547;3031852;213849;2771471;202746;2623549;1802253	-	hoxW	-	-	K03605	-	-	-	-	00001,01002	-	-	-	-	l--l----l----
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1644670_1	1380348.GCA_000620725_03676	1.8e-187	528.0	DHO_dh@131567|AO-7	Prokaryota	1;131567;2;3379134;200940;3031648;2914038;213468;1510979;1805378	COG0167	preA	-	ec:1.3.98.1	K00226	00240,01100,01240	M00051	-	-	00001,01000	-	-	-	DHO_dh_95_288	l-mmmm--m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1401038_9	1380348.GCA_000620725_03677	0.0	1867.0	EKR@131567|A-1,POR_N@131567|C-2!,POR@131567|G-3,Fer4_16@131567|B-2,TPP_enzyme_C@131567|Gf-11,PFOR_II@131567|C-2	Prokaryota	1;131567;2;3384194;508458;649775;649776;3029086;49894;649746;592015	COG0674	nifJ	GO:0005515,GO:0005737,GO:0006979,GO:0019164,GO:0043873	ec:1.2.7.1	K03737	00010,00020,00620,00650,00720,01100,01110,01120,01200,01210	M00173,M00307	-	-	00001,01000,01601	-	-	-	EKR_637_683,Fer4_16_694_762,PFOR_II_270_366,POR_431_614,POR_N_18_248,TPP_enzyme_C_966_1078	llhhhh--h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1554439_8	1380348.GCA_000620725_03680	2.17e-39	133.0	FeoA@131567|ID-16	Prokaryota	1;131567;2;3379134;29547;3031852;213849;2932623;57665;66821;1150621	COG1918	feoA	-	-	K04758	-	-	-	-	00001,02000	-	-	-	FeoA_4_73	l--l----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1554439_9	1380348.GCA_000620725_03681	0.0	998.0	Gate@131567|q-6,FeoB_C@131567|e-5,FeoB_N@131567|Be-11	Prokaryota	1;131567;2;1783272;201174;1760;85007;1762;1763;1841861	COG0370	feoB	GO:0005886	-	K04759	-	-	-	-	00001,02000	-	-	-	FeoB_C_421_473,FeoB_N_23_179,Gate_308_399,Gate_478_611	ll-l----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_69_8	1380348.GCA_000620725_03685	0.0	939.0	ABC_tran_Xtn@131567|B-2,ABC_tran|H6PSH3@131567	Prokaryota	1;131567;2;3379134;2818505;32015;29;213495;1895795	COG0488	yheS_1	-	-	-	-	-	-	-	-	-	-	-	ABC_tran_18_182,ABC_tran_333_475,ABC_tran_Xtn_222_295	l-----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_91332_2	1380348.GCA_000620725_03691	0.0	955.0	ABC_membrane@2|Ana-32,ABC_membrane@131567|AVs-31,ABC_tran|R0GNR3@131567	Prokaryota	1;131567;2;3379134;1224;1236;72274;135621;286;196821;1960827	COG1132	mdlB	GO:0005515,GO:0005524,GO:0005886,GO:0016020,GO:0046618	-	K18890	02010	-	-	-	00001,02000	-	-	-	ABC_membrane_163_440,ABC_tran_538_687	ll-mm---m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_12	1380348.GCA_000620725_03699	5.9e-196	558.0	Amidase@131567|mW-18	Prokaryota	1;131567;2;3379134;1783257;74201;414999;415000;134623;3126963;1184151	COG0154	atzE	-	ec:3.5.1.131,ec:6.3.5.6,ec:6.3.5.7	K02433,K19837	00791,00970,01100,01120	-	-	-	00001,01000,03029	-	-	-	Amidase_27_420	l-lll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_576302_35	1380348.GCA_000620725_03707	0.0	894.0	PEP-utilizers_C@131567|C-2,PPDK_N@131567|AM-7,PEP-utilizers@131567|TM-18	Prokaryota	1;131567;2;2323;1783234;1783273;1794811;1817923;1802465	COG0574	ppdK	-	ec:2.7.9.1	K01006	00010,00620,00710,00720,01100,01110,01120,01200	M00169,M00171,M00172,M00173	-	-	00001,01000	-	-	-	PEP-utilizers_459_538,PEP-utilizers_C_557_912,PPDK_N_337_390,PPDK_N_54_89,PPDK_N_92_323	l-hhhh--h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_855330_1	1380348.GCA_000620725_03707	1.81e-184	541.0	PEP-utilizers_C@131567|C-2,PPDK_N@131567|AM-7,PEP-utilizers@131567|TM-18	Prokaryota	1;131567;2;2323;1783234;1783273;1794811;1817923;1802465	COG0574	ppdK	-	ec:2.7.9.1	K01006	00010,00620,00710,00720,01100,01110,01120,01200	M00169,M00171,M00172,M00173	-	-	00001,01000	-	-	-	PEP-utilizers_459_538,PEP-utilizers_C_557_912,PPDK_N_337_390,PPDK_N_54_89,PPDK_N_92_323	l-hhhh--h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1151340_8	1380348.GCA_000620725_03720	2.7e-264	733.0	AAA_assoc_C@131567|A-1,ABC_tran|VOF0LH@131567	Prokaryota	1;131567;2;2323;1783234;1752708;2760815;1802107	COG4754	abcT3	-	-	K02049	-	-	-	-	00001,02000	-	-	-	AAA_assoc_C_319_437,ABC_tran_42_178	l--m----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_690455_29	1380348.GCA_000620725_03722	3.77e-121	350.0	-	Prokaryota	1;131567;2;3379134;57723;305072;1962178	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_385243_7	1380348.GCA_000620725_03725	1.25e-50	162.0	NTP_transf_9@131567|q-8	Prokaryota	1;131567;2;3379134;1224;28216;80840;75682;2895353;75654;2636909;1884368	COG2343	-	-	-	-	-	-	-	-	-	-	-	-	NTP_transf_9_3_88	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_385243_6	1380348.GCA_000620725_03727	4.22e-74	227.0	-	Prokaryota	1;131567;2;3379134;57723;204432;332160;1962910;911113;360054;1340493	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1262956_11	1380348.GCA_000620725_03737	6.17e-163	478.0	Biotin_lipoyl@131567|CaL-22,E3_binding@131567|EA-12!,2-oxoacid_dh@131567|HT-16	Prokaryota	1;131567;2;3384194;1297;188787;68933;188786;270;1330700	COG0508	sucB	GO:0004148,GO:0005515,GO:0005829,GO:0005886,GO:0015036,GO:0031405,GO:0045254,GO:0045454,GO:1990748	ec:2.3.1.12	K00627	00010,00020,00620,00785,01100,01110,01120,01200,01210	M00307	-	-	00001,01000,01601	-	-	-	2-oxoacid_dh_333_559,Biotin_lipoyl_119_191,Biotin_lipoyl_4_76,E3_binding_248_282	llmmmm--m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1262956_10	1380348.GCA_000620725_03738	1.35e-110	330.0	-	Prokaryota	1;131567;2;3379134;1783257;203682;2517206;1127829;1127830;380240;795830	-	lipB	-	ec:2.3.1.181	K03801	00785,01100,01240	M00881	-	-	00001,01000	-	-	-	-	m-mmmm--m----
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_873821_2	1380348.GCA_000620725_03748	7.47e-305	844.0	PA@2|BUU-28,PA@131567|aG-18,Peptidase_M28@2|aR-16,Peptidase_M28@131567|Dz-10	Prokaryota	1;131567;2;1783272;1239;186801;3082720;3118656;89958;393762	COG2234	ywaD	-	ec:3.4.11.10,ec:3.4.11.6	K19701	-	-	-	-	00001,01000,01002	-	-	-	PA_147_237,Peptidase_M28_311_517	l-ll----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_873821_1	1380348.GCA_000620725_03749	6.09e-99	300.0	HhH-GPD@131567|Ac-7	Prokaryota	1;131567;2;68525;28221;122706;1797811	COG1194	mutY	-	ec:3.2.2.31	K03575	03410	-	-	-	00001,01000,03400	-	-	-	HhH-GPD_24_146	l-mmm---m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_682758_2	1380348.GCA_000620725_03751	0.0	1318.0	DHHA1@131567|Am-9,tRNA_SAD@131567|Ag-9,tRNA-synt_2c@131567|AC-7	Prokaryota	1;131567;2;3379134;1224;28211;204441;3031147;659693;526216;1207063	COG0013	alaS	GO:0001217,GO:0002161,GO:0002196,GO:0004813,GO:0005829,GO:0006419,GO:0008270,GO:0016020,GO:0042802,GO:0042803,GO:0045892,GO:0141207	ec:6.1.1.7	K01872	00970	-	-	-	00001,01000,01007,01613,03016	-	-	-	DHHA1_767_902,tRNA-synt_2c_8_579,tRNA_SAD_679_723	lllll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1262956_4	1380348.GCA_000620725_03752	9.19e-67	209.0	RecX@131567|A-1	Prokaryota	1;131567;2;3379134;200940;3031651;3031668;213422;28231;2627627;443144	COG2137	recX	-	-	K03565	-	-	-	-	00001,03400	-	-	-	RecX_50_163	m--m----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2036736_18	1380348.GCA_000620725_03754	0.0	951.0	PD40@131567|BSN-25,Peptidase_S9@131567|ApU-28	Prokaryota	1;131567;2;3379134;1783257;203682;203683;2691356;1763524;127;128;575540	COG1506	dapb3_2	-	-	-	-	-	-	-	-	-	-	-	PD40_289_313,PD40_92_119,Peptidase_S9_516_729	l-----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_316196_2	1380348.GCA_000620725_03758	5.15e-217	620.0	Peptidase_S13@131567|I-4	Prokaryota	1;131567;2;3379134;57723;204432;332160;332161;332162;332163;234267	COG2027	dacB	-	ec:3.4.16.4	K07259	00550,01100	-	-	-	00001,01000,01002,01011	-	-	-	Peptidase_S13_358_535,Peptidase_S13_43_324	l-lll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2004386_6	1380348.GCA_000620725_03766	1.84e-07	54.3	Aminotran_4@131567|PE-15	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;112074;1380348	COG0115	-	-	-	-	-	-	-	-	-	-	-	-	Aminotran_4_37_269	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_866242_18	1380348.GCA_000620725_03770	4.33e-145	419.0	NAD_synthase@131567|C-2	Prokaryota	1;131567;2;1783272;201174;1760;85006;85020;36739;1630135	COG0519	nadE2	-	ec:4.4.1.37	K06864	-	-	-	-	00001,01000	-	-	-	NAD_synthase_56_122	l-ll----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_866242_14	1380348.GCA_000620725_03774	1.93e-316	872.0	Fer4_5@131567|C-2!,Fer4_4@2|B-2!,Fer4@2|B-2!	Prokaryota	1;131567;2;2323;1783234;1817797;1817816	COG1143	napG	GO:0005886,GO:0042597	ec:1.8.7.3,ec:1.8.98.4,ec:1.8.98.5,ec:1.8.98.6	K02572,K02573,K02574,K03390	00680,01100,01120,01200	M00356,M00357,M00563,M00567	-	-	00001,01000	-	-	-	Fer4_372_387,Fer4_4_287_301,Fer4_508_525,Fer4_5_213_249,Fer4_5_69_104	llllll--l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_866242_13	1380348.GCA_000620725_03775	1.27e-62	198.0	DUF6599@131567|A-1*,DUF6599@2|a-5	Prokaryota	1;131567;2;3379134;57723;204432;204433;3121618;658061;658062;204669	S	-	-	-	-	-	-	-	-	-	-	-	-	DUF6599_41_164	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_866242_12	1380348.GCA_000620725_03776	1.29e-143	416.0	DUF362@131567|B-2!	Prokaryota	1;131567;2;2323;1783234;1819803;1817894	COG2006	-	-	-	-	-	-	-	-	-	-	-	-	DUF362_103_283	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_866242_11	1380348.GCA_000620725_03777	1.27e-188	531.0	DUF362@131567|Ax-8	Prokaryota	1;131567;2;2323;1783234;1817811;1817883	COG2006	-	-	-	-	-	-	-	-	-	-	-	-	DUF362_107_301	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_14	1380348.GCA_000620725_03788	1.73e-171	500.0	Mur_ligase_M@131567|B-2,Mur_ligase_C@131567|B-2	Prokaryota	1;131567;2;3384194;508458;649775;649776;649777;508459;1197717	COG0285	folC	GO:0000287,GO:0004326,GO:0008841,GO:0043531,GO:0050897	ec:6.3.2.12,ec:6.3.2.17	K11754	00790,01100,01240	M00126,M00841	-	-	00001,01000	-	-	-	Mur_ligase_C_350_428,Mur_ligase_M_100_325	llmmmm--m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_1	1380348.GCA_000620725_03789	3.63e-199	560.0	DNA_pol3_beta_3@131567|A-1,DNA_pol3_beta_3@204433|BeE-27,DNA_pol3_beta@131567|A-1,DNA_pol3_beta@204433|AFi-20,DNA_pol3_beta_2@131567|A-1,DNA_pol3_beta_2@204433|Ajg-24	Prokaryota	1;131567;2;3379134;200940;67799;188710;188711;1740;1295609;795359	COG0592	dnaN	-	ec:2.7.7.7	K02338	03030,03430,03440	-	-	-	00001,01000,03032,03400	-	-	-	DNA_pol3_beta_18_136,DNA_pol3_beta_2_146_263,DNA_pol3_beta_3_267_389	m-mmm---m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_16	1380348.GCA_000620725_03789	4.21e-219	612.0	DNA_pol3_beta_3@131567|A-1,DNA_pol3_beta_3@204433|BeE-27,DNA_pol3_beta@131567|A-1,DNA_pol3_beta@204433|AFi-20,DNA_pol3_beta_2@131567|A-1,DNA_pol3_beta_2@204433|Ajg-24	Prokaryota	1;131567;2;3379134;200940;67799;188710;188711;1740;1295609;795359	COG0592	dnaN	-	ec:2.7.7.7	K02338	03030,03430,03440	-	-	-	00001,01000,03032,03400	-	-	-	DNA_pol3_beta_18_136,DNA_pol3_beta_2_146_263,DNA_pol3_beta_3_267_389	m-mmm---m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1195001_4	1380348.GCA_000620725_03795	4.2e-304	839.0	Glyco_hydro_39@131567|A-1	Prokaryota	1;131567;2;3379134;1783270;68336;976;200643;171549;171550;239759;626932;742725	COG3664	xynB	-	ec:3.2.1.37	K01198	00520,01100	-	-	-	00001,01000	-	GH39|Glycoside Hydrolase Family 39.	-	Glyco_hydro_39_37_500	m-hhh---h-l-h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1354354_11	1380348.GCA_000620725_03803	7.59e-277	808.0	Reg_prop@131567|EL-10,HisKA_3@131567|VD-18!,Y_Y_Y@2|Hp-17,Y_Y_Y@131567|DW-13	Prokaryota	1;131567;2;3379134;1783257;74201;414999;415000;134623;3126963;1184151	COG4585	vraS	GO:0005515,GO:0042802	-	-	-	-	-	-	-	-	-	-	HisKA_3_745_811,Reg_prop_207_229,Reg_prop_248_269,Reg_prop_289_311,Reg_prop_32_54,Reg_prop_375_397,Reg_prop_76_97,Y_Y_Y_640_701	ll----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1354354_10	1380348.GCA_000620725_03804	4.7e-127	365.0	GerE@2|JOP-44,GerE@131567|HUt-42,Response_reg|EOIICH@2	Prokaryota	1;131567;2;1783272;201174;1760;2037;2049;1654;544580	COG2197	degU_2	-	ec:1.21.98.3	K02479,K04034,K07684,K07692,K07693,K07694,K07696,K11618,K11624	00860,01100,01110,02020,02024	-	-	-	00001,01000,02022	-	-	-	GerE_146_199,Response_reg_8_119	m-lll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1262956_5	1380348.GCA_000620725_03806	2.67e-189	539.0	MacB_PCD@131567|Aiw-20,FtsX@131567|Su-14	Prokaryota	1;131567;2;3379134;1224;1236;135622;267888;53246;152297	COG0577	macB	GO:0002049,GO:0005515,GO:0005886,GO:0008559,GO:0015562,GO:0016020,GO:0042802,GO:0042803,GO:0042893,GO:0042897,GO:0042908,GO:0045121,GO:0046677,GO:1990196,GO:1990281,GO:1990961	-	K02004	02010	-	-	-	00001,02000	-	-	-	FtsX_296_410,MacB_PCD_24_255	ll-ml---m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1262956_8	1380348.GCA_000620725_03809	0.0	1593.0	Tricorn_C1@131567|Ce-10,PD40@131567|GU-10,Tricorn_PDZ@131567|A-1,Peptidase_S41@131567|br-18	Prokaryota	1;131567;2;1783272;67819;1042316;1895717	COG4946	tri1_1	-	-	K08676	-	-	-	-	00001,01002	-	-	-	PD40_356_389,PD40_410_425,PD40_459_476,Peptidase_S41_945_1100,Tricorn_C1_749_815,Tricorn_PDZ_827_916	l--m----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1181446_13	1380348.GCA_000620725_03813	1.38e-41	147.0	Radical_SAM@131567|tE-18,Fer4_12@131567|Ic-14,SPASM@131567|sP-17	Prokaryota	1;131567;2;1783272;1239;91061;1385;186817;84406;2620237;403957	COG0535	albA	-	ec:1.3.98.6	K22227	00860,01100,01110,01240	M00847	-	-	00001,01000	-	-	-	Fer4_12_30_98,Radical_SAM_28_167,SPASM_296_351	l-hhhh--h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1181446_12	1380348.GCA_000620725_03814	2.64e-154	442.0	Usp@204434|Cop-24,Usp@57723|BWa-22,Usp@131567|Ly-14	Prokaryota	1;131567;2;3379134;1224;1236;135619;135620;28253;295068	COG0589	uspG_1	-	-	-	-	-	-	-	-	-	-	-	Usp_15_149,Usp_164_291	l-----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_676433_3	1380348.GCA_000620725_03814	5.72e-122	360.0	Usp@204434|Cop-24,Usp@57723|BWa-22,Usp@131567|Ly-14	Prokaryota	1;131567;2;3379134;1224;1236;135619;135620;28253;295068	COG0589	uspG_1	-	-	-	-	-	-	-	-	-	-	-	Usp_15_149,Usp_164_291	l-----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1181446_6	1380348.GCA_000620725_03824	6.57e-126	361.0	HNH_5@131567|A-1	Prokaryota	1;131567;2;3379134;3018035;1553900;1553901;1769745;1769746;1513793	COG1403	cas9	GO:0005576	-	-	-	-	-	-	-	-	-	-	HNH_5_118_170	ll----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_2	1380348.GCA_000620725_03864	4.28e-205	575.0	KdpD@131567|A-1,Usp@131567|Im-13	Prokaryota	1;131567;2;3379134;40117;203693;189778;189779;179;655606;180;1162668	COG2205	kdpD_2	GO:0004673,GO:0005515,GO:0005737	ec:2.7.13.3	K07646	02020	M00616	-	-	00001,01000,01001,02022	-	-	-	KdpD_12_221,Usp_241_356	mlmmml--m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_930740_5	1380348.GCA_000620725_03871	7.75e-223	619.0	YchF-GTPase_C@131567|A-1,MMR_HSR1@131567|fC-15	Prokaryota	1;131567;2;3384194;1297;188787;118964;183710;1298;309886;1121377	COG0012	ychF	-	-	K06942	-	-	-	-	00001,03009	-	-	-	MMR_HSR1_3_108,YchF-GTPase_C_277_358	m--m----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_425955_7	1380348.GCA_000620725_03875	1.52e-37	129.0	Glutaredoxin@131567|GN-12	Prokaryota	1;131567;2;3379134;1224;28216;80840;80864;34072;663243;1566271	COG0695	mrx1	-	ec:1.20.4.3	K18917	-	-	-	-	00001,01000	-	-	-	Glutaredoxin_14_71	l-mm----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_425955_8	1380348.GCA_000620725_03876	2.6e-270	746.0	ADSL_C@131567|A-1,Lyase_1@131567|w-7	Prokaryota	1;131567;2;2323;1783234;67810;1046990;1935106	COG0015	purB	GO:0004018,GO:0006167,GO:0070626	ec:4.3.2.2	K01756	00230,00250,01100,01110,01232,01240	M00048,M00049	-	-	00001,01000	-	-	-	ADSL_C_355_433,Lyase_1_8_290	llllll--l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_425955_13	1380348.GCA_000620725_03881	9.62e-210	589.0	Abhydrolase_1@131567|Cry-23	Prokaryota	1;131567;2;3379134;200940;3024418;213118;213119;231684;1971627	COG2021	metXA	-	ec:2.3.1.31,ec:2.3.1.46	K00641	00270,00920,01100,01110,01230	M00017	-	-	00001,01000	-	-	-	Abhydrolase_1_73_378	m-mmmm--m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_124654_10	1380348.GCA_000620725_03883	5.57e-157	445.0	YmdB@131567|A-1	Prokaryota	1;131567;2;3379134;1783270;1729712;2044589;1902299	COG1692	ymdB	-	ec:3.1.4.16	K09769	00230,00240,01100	-	-	-	00001,01000	-	-	-	YmdB_4_261	l-mmm---m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_124654_9	1380348.GCA_000620725_03884	3.39e-279	777.0	tRNA_anti-codon@131567|Bz-10,tRNA-synt_2@131567|BC-11	Prokaryota	1;131567;2;3379134;1783257;74201;203494;48461;203557;574899;2623442;1396141	COG1190	lysS	GO:0000287,GO:0004824,GO:0005515,GO:0005524,GO:0005829,GO:0006418,GO:0006430,GO:0016020,GO:0016874,GO:0034605,GO:0036260,GO:0042803	ec:6.1.1.6	K04567	00970	-	-	-	00001,01000,01007,01613,03016	-	-	-	tRNA-synt_2_155_528,tRNA_anti-codon_61_137	mlmmm---m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1821049_7	1380348.GCA_000620725_03888	3.88e-244	694.0	AA_permease_2@131567|AB-6	Prokaryota	1;131567;2;3379134;200940;3024418;213118;3031625;497742;340467;1121394	COG0531	-	-	-	-	-	-	-	-	-	-	-	-	AA_permease_2_64_539	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_64801_12	1380348.GCA_000620725_03889	1.32e-253	714.0	CN_hydrolase@131567|B-2,LNT_N@131567|A-1	Prokaryota	1;131567;2;3379134;2818505;32015;29;80811;31;3434272;1297742	COG0815	lnt	GO:0004582,GO:0005515,GO:0005886,GO:0009247,GO:0030288,GO:0042158,GO:0052167	ec:2.3.1.269	K03820	00760,01100,01240	M00115,M00912	-	-	00001,01000	-	GT2|Glycosyltransferase Family 2.	-	CN_hydrolase_301_497,LNT_N_36_195	llllll--l-l-h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_64801_7	1380348.GCA_000620725_03892	9.46e-230	638.0	PCRF@131567|V-6,RF-1@131567|IL-15	Prokaryota	1;131567;2;3379134;2818505;32015;29;80811;1524215;161492;2620896;404589	COG1186	prfB	-	-	K02836	-	-	-	-	00001,03012	-	-	-	PCRF_27_214,RF-1_223_332	m--m----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_64801_6	1380348.GCA_000620725_03897	1.49e-308	866.0	DsbD@131567|q-7,DsbC@131567|A-1,Thioredoxin_7@131567|Ig-14	Prokaryota	1;131567;2;1783272;201174;1760;85010;2070;1847;260086	COG4232	dsbD	GO:0005515,GO:0005886,GO:0015035,GO:0045454,GO:0046688	ec:1.8.4.16	K04084	-	-	-	-	00001,01000,03110	-	-	-	DsbC_36_153,DsbD_322_495,Thioredoxin_7_610_697	llmm----m---h
